ROUTE_ID,USER_ID,Rating,Pref
BS-P-0478,Geula,5,1
GG-P-0454,Ilon T,5,1
SU-P-2852,brigittac2014,5,1
GG-P-0424,donpC9763PA,5,1
CB-P-0009,Jules H,5,1
CB-P-0052,Linnette,5,1
CB-P-0061,sfock2019,4,1
CB-P-0099,michaelsum,5,1
GG-P-0431,Jean,5,1
JN-P-0305,Janet S,5,1
JN-P-0305,Bishikon,5,1
IC-P-0288,Paris2014607,5,1
SU-P-2556,davetheguide,4,1
CB-P-0201,Pornsook D,5,1
CB-P-0055,Blp00,5,1
GW-P-0126,jeffreyopada,5,1
GW-P-0126,Connie M,5,1
GW-P-0126,Joshua J,5,1
GW-P-0126,ReemAlSuwaidy,5,1
GW-P-0155,Camille S,4,1
DG-P-0095,Cindy V,5,1
DG-P-0008,Hanna M,5,1
DG-P-0091,Jordan_McAlister,5,1
GN-P-0105,katieqd,5,1
DJ-P-0152,Carol Y,4,1
DJ-P-0126,Keng Andrew T,5,1
DJ-P-0038,Fidfad,5,1
DJ-P-0066,Eri S,5,1
DJ-P-0094,Ashley,5,1
DJ-P-0092,Veronica,5,1
DJ-P-0092,Marcela Y,5,1
GG-P-0455,mollycrooks,5,1
JN-P-0402,Emily C,5,1
GW-P-0317,aaa,5,1
GG-P-0724,Isay C,5,1
GG-P-1581,Styx,5,1
GG-P-0476,Carreyna,5,1
BS-P-0745,sativandiriza,5,1
GG-P-0387,April,5,1
GG-P-0481,Christopher A,5,1
SU-P-0751,Jeannie Liow,4,1
JN-P-0326,Jerra S,5,1
SU-P-0761,Sam F,5,1
SU-P-1649,Rouda Y,5,1
SU-P-0766,Kelvinnfamily,3,0
SU-P-0766,ahriev,5,1
BS-P-0192,Cat Arellano,5,1
JN-P-0093,Kenn Hagonos,5,1
SU-P-0026,Mariel,4,1
CN-P-0241,jilly j,5,1
GG-P-1624,countesstremaine,5,1
SU-P-2764,Khor A,3,0
GW-P-0507,Anna Casiano,5,1
GN-P-0060,eunicefayetres,5,1
SU-P-0852,kinetix,4,1
JJ-P-0047,Vero,5,1
GG-P-0537,Mheg,5,1
BS-P-0386,Alicia Chia,5,1
SU-P-0022,Maayan D,5,1
SU-P-0578,Addi,4,1
SU-P-0118,Wenifer Dawson,5,1
SU-P-0903,Sherri Ann S,5,1
GG-P-0127,NRWSA,5,1
GG-P-0562,Alyssa C,5,1
GG-P-0129,Alyssa,5,1
SU-P-0963,JtChoo,4,1
SU-P-3011,Ryan N,3,0
BS-P-0075,Jesseca M And junio Fam,5,1
GW-P-0211,eteh3,5,1
JN-P-0304,Chimgee C,5,1
SU-P-2593,Noorain,5,1
SU-P-1816,Leon T,4,1
SU-P-2573,gogogle,5,1
JN-P-0114,Theresa Rachel,5,1
SU-P-0003,Lyn S,5,1
JB-P-0143,Maricar,5,1
JB-P-0145,Jennifer L,5,1
GG-P-0197,Kathleen,5,1
SU-P-1044,Kari,4,1
GG-P-0190,Noush,5,1
GG-P-0154,Jocelyn S,4,1
GG-P-0605,victor,5,1
GB-P-0117,Mary,4,1
GG-P-1407,Joselin S,5,1
GN-P-0327,Mncchio,1,0
GB-P-0198,irasuhami,5,1
JB-P-0345,jdds,5,1
SU-P-1838,Hing,4,1
BS-P-0482,hueychau l,5,1
SU-P-2717,Arianne Chaezel A,4,1
SU-P-0741,Andrew,5,1
SU-P-0246,Ruby P,5,1
SU-P-1137,Carren Marie C,5,1
SU-P-2024,Belle,5,1
GN-P-0140,CSA,5,1
GN-P-0036,Nicole Hortizuela,5,1
GW-P-0290,Daisy S,5,1
GG-P-1566,Jessica Lee,5,1
SU-P-1773,Akhbar M,5,1
SU-P-1124,Icy93,5,1
GN-P-0206,Alyn. T,5,1
JJ-P-0177,Leo W,5,1
GG-P-0654,Nadine O,5,1
IC-P-0302,Shufen C,4,1
GW-P-0365,Li Yong G,5,1
CN-P-0006,Gp E,5,1
DJ-P-0142,ngocanh_151290,5,1
GG-P-0618,Omar AlJalahmah,5,1
GG-P-1599,Donna Gaile R,5,1
SU-P-1189,TAMAN1951,3,0
BS-P-0327,EllaGianan,5,1
JB-P-0163,Weiling H,5,1
SU-P-0675,N_i_b_a_r,4,1
SU-P-0655,cirrus55,5,1
GG-P-0126,Jessie S,5,1
JB-P-0281,FoodCloudie,5,1
IC-P-0303,Yen,5,1
SU-P-1204,Fitricia S,5,1
SU-P-2553,CJ,5,1
CN-P-0126,jessicafyhu,5,1
GB-P-0239,H K,5,1
SU-P-1456,Maricris C,5,1
BS-P-0018,Darrell S,5,1
BS-P-0044,onesweetword,5,1
BS-P-0057,capishere,4,1
BS-P-0416,Claudia,5,1
BS-P-0381,evee,5,1
BS-P-0593,jut332,5,1
BS-P-0297,Nora,5,1
BS-P-0371,mary j,5,1
BS-P-0409,Dayna W,5,1
BS-P-0906,tinaVA2022,5,1
BS-P-0420,Cindy B,5,1
BS-P-0001,Marwa,5,1
BS-P-0368,Densenkei,5,1
BS-P-0944,STan,5,1
BS-P-0208,Rhea D,5,1
BS-P-0142,香織 神,5,1
BS-P-0469,Allan J,5,1
BS-P-0890,lidya e,5,1
BS-P-0516,Vahideh O,5,1
BS-P-0894,Zoe H,5,1
JB-P-0162,Cassey R,5,1
JB-P-0231,Lorie Anne C,5,1
JB-P-0412,Любовь Н,5,1
JB-P-0317,Paloma P,5,1
GG-P-1546,Dannah Mae R,5,1
GG-P-0136,putunita23,5,1
GG-P-0505,Krista V,5,1
GG-P-0763,Marilyn W,5,1
GG-P-0696,kate r,5,1
GG-P-0566,Scenic36419770746,5,1
GG-P-0690,Flerida S,5,1
GG-P-0702,yuzhen s,5,1
SU-P-1243,Jen C,5,1
GG-P-0077,Jan C,5,1
SU-P-0810,Charlene Y,5,1
SU-P-2912,Ульяна Д,5,1
SU-P-2912,Dani Lim,5,1
SU-P-2909,Anna Karinina D,5,1
SU-P-1226,Marlyn Fe Q,5,1
SU-P-1609,memento m,5,1
GB-P-0021,Kinney P,5,1
JB-P-0027,tkey,5,1
JN-P-0151,Gayle,5,1
GG-P-1267,Andie C,5,1
JN-P-0336,Ella Grazelle C,5,1
GB-P-0025,lili l,5,1
GG-P-0748,Dnishi,5,1
GG-P-1019,Indi,5,1
SU-P-1326,Sunshine701424,5,1
GW-P-0057,Nomad48890780371,5,1
GG-P-0764,Connector65172925594,5,1
SU-P-0587,LADY ANN E,5,1
SU-P-1072,Ley d,5,1
IC-P-0245,erica l,5,1
JB-P-0327,JOANNE A,5,1
SU-P-2617,Leani G,5,1
SU-P-1383,Polapola_Choi,5,1
SU-P-0857,Brittany M,5,1
IC-P-0316,Isabetlog,5,1
SU-P-1401,Amal A,5,1
SU-P-1556,Tan J,5,1
SU-P-2074,Sylwia S,5,1
SU-P-2856,tannie t,5,1
JN-P-0031,Serene C,5,1
CN-P-0240,Aurora S,5,1
SU-P-0605,Maria J,5,1
GG-P-0783,Rosa Ayu H,5,1
SU-P-1435,Cristina V,5,1
GG-P-0238,Karolina B,5,1
GG-P-1112,Cassandra L,5,1
SU-P-1542,Vacation61146580199,5,1
SU-P-1839,Martha Q,5,1
SU-P-1838,Kirsten C,5,1
SU-P-1850,Sightseer28493715945,5,1
SU-P-1768,Lesli A,5,1
CN-P-0120,Daga G,5,1
SU-P-1864,Mafe Q,5,1
IC-P-0058,Rachelle D,5,1
JB-P-0134,Denise G,5,1
IC-P-0319,Happiness56211439381,5,1
IC-P-0319,Megumi I,5,1
BS-P-0332,Scenic39321113748,5,1
GG-P-0805,Anna,5,1
GG-P-1077,haylxyz e,4,1
SU-P-0756,Odyssey29926352088,5,1
SU-P-1888,Karen L,5,1
GG-P-0813,MELCHOR J,5,1
CB-P-0065,Rachel,5,1
GG-P-0400,Michelle,5,1
GG-P-1167,Vi L,5,1
GG-P-1410,Луиза И,5,1
GG-P-0823,Julieta B,5,1
SU-P-2631,Priscilla B,5,1
SU-P-0418,Curiosity48467093101,5,1
GG-P-0653,Carolina S,5,1
SU-P-1311,Roam46305506934,5,1
SU-P-1922,Passport20950490505,5,1
SU-P-2239,olga1457,5,1
BS-P-0588,Melissa Desiree R,5,1
DJ-P-0021,Gaby S,5,1
SU-P-3472,Vanessa B,5,1
SU-P-1202,Ilich N,5,1
GW-P-0399,Kirsty B,5,1
SJ-P-0008,Christelle D,5,1
GG-P-0660,Sherly C,5,1
SU-P-2021,Fulya,5,1
GG-P-0850,Armina M,5,1
CB-P-0071,Nora B,5,1
IC-P-0295,Mich P,5,1
IC-P-0308,MartiL,5,1
GG-P-0037,Kelly V,5,1
SU-P-0274,monique b,5,1
IC-P-0328,Daydreamerinka,5,1
GW-P-0131,Luisa T,5,1
JJ-P-0108,Ellie A,5,1
SU-P-2022,sabtraction,5,1
GG-P-0151,Elle,5,1
SU-P-1775,Michela L,5,1
GG-P-1337,Pioneer45129304241,5,1
GG-P-1608,amam h,5,1
GG-P-1332,Safari51760938748,5,1
GG-P-0233,I C,5,1
GG-P-0911,Jade D,5,1
GG-P-0888,Jessie Y,5,1
GG-P-1544,Sightseer14902808297,5,1
GG-P-1465,Mcisco808,5,1
JN-P-0193,Dian U,5,1
JN-P-0181,J Y,5,1
GG-P-1319,Lily1234560878,5,1
GG-P-1041,Airair,5,1
GB-P-0078,Essie L,5,1
SU-P-3188,Marian K,5,1
GG-P-1118,Sharvon H,5,1
BS-P-0411,Εugénie G,5,1
GG-P-0926,Becca K,5,1
GW-P-0109,B M,5,1
GN-P-0037,Michele W,5,1
SU-P-1630,tami j,5,1
SU-P-1529,Danielle V,5,1
SU-P-2693,Ranggi O,5,1
SU-P-2146,熊 熊,5,1
GJ-P-0016,MCCM,5,1
SU-P-0084,沂芳 李,5,1
GN-P-0209,Lynne C,5,1
GB-P-0047,Adventure08057612031,5,1
SU-P-3106,ckura808,5,1
SU-P-1582,Fearless09170259433,5,1
GG-P-1113,Dirkjan L,5,1
GG-P-0191,Blanca B,5,1
SU-P-0511,Jeno Z,5,1
SU-P-2430,Kahori T,5,1
SU-P-3366,Stiphy917,5,1
SU-P-2293,Chloe C,5,1
SU-P-1598,Luwèn G,5,1
GG-P-0949,Jessica A,5,1
SU-P-0452,Rebecca F,5,1
SU-P-2205,Dolce18,5,1
SU-P-1221,smithfinn,5,1
GG-P-1113,Lady M,5,1
SU-P-2212,KUMIKO K,5,1
JB-P-0245,Kimm H,5,1
SU-P-3339,Lindsay W,5,1
DJ-P-0084,Trip46882373774,5,1
CB-P-0084,Mika B,5,1
SU-P-1100,Marissa S,5,1
SU-P-0207,Lila M,5,1
SU-P-0356,Carolina C,5,1
GB-P-0087,Elizabeth Q,5,1
GB-P-0127,Ashley H,5,1
GG-P-1309,misty t,5,1
GG-P-0969,Melany M,5,1
GG-P-0970,angela r,5,1
SU-P-0370,Caroline D,5,1
BS-P-0516,Guadalupe S,5,1
CN-P-0137,Wander57872704552,5,1
GG-P-0153,Claire W,5,1
GG-P-0221,Navigate06809497467,5,1
GG-P-0156,Marion B,5,1
GG-P-0156,Senta B,5,1
GG-P-0156,Vacation22384291949,5,1
GG-P-0156,Lizbeth D,5,1
GG-P-0156,Vanessa A,5,1
GW-P-0516,2806anu,5,1
GB-P-0203,Vidya R,5,1
BS-P-0515,Anna C,5,1
IC-P-0137,Amanda C,5,1
SU-P-0420,Becky L,5,1
BS-P-0248,jennifer m,5,1
IC-P-0352,Peter A,5,1
GG-P-0521,Betty P,5,1
GG-P-1417,Nattamon L,5,1
SU-P-2281,Stéphanie M,5,1
SU-P-0862,Christine N,5,1
SU-P-2280,elysse jane m,5,1
GG-P-0534,Rachelle G,5,1
GG-P-0160,Rachelle S,5,1
SU-P-2447,Trisha T,5,1
SU-P-3187,Kaija G,5,1
GG-P-0165,Voyage682552,5,1
GG-P-1028,Ma Ruth Rosalyn J,5,1
GG-P-1039,Noreen A,5,1
SU-P-0742,Kirsten O,5,1
GG-P-1050,Bruna G,5,1
GG-P-0405,Ineta C,5,1
SU-P-2337,aina a,5,1
DJ-P-0035,Alpaca Fan,5,1
JB-P-0199,Agnes T,5,1
GG-P-0392,dands,5,1
GN-P-0340,Erika_L_LF,5,1
SU-P-2674,New Traveler,5,1
GW-P-0480,Rubyruby18,4,1
GG-P-1314,JUDY C,5,1
JN-P-0280,Vic P,5,1
JN-P-0062,Angelynn J,5,1
JN-P-0237,Cindy N,5,1
SU-P-3067,David M,5,1
SU-P-1329,traveltotelltales,3,0
SU-P-2345,Dana I,5,1
SU-P-2350,prisleegl,5,1
GG-P-0919,Lisa K,5,1
GG-P-1298,Julia S,5,1
SU-P-0665,Kirk H,5,1
SU-P-2227,Andrew J,5,1
SU-P-2467,Shaike Mukul,5,1
GG-P-0456,Daria Loshkov,5,1
GG-P-0042,Buse B,5,1
SU-P-1249,Doris W,5,1
SU-P-2335,Petr K,5,1
JN-P-0241,Dodi D,5,1
BS-P-0402,Drew D,5,1
SU-P-0720,LinS,5,1
SU-P-2813,FrequentFlier812776,5,1
SU-P-2909,Heather G,5,1
GB-P-0109,Marcus S,5,1
GB-P-0030,Kaitlan K,5,1
CB-P-0099,Giovanni F,5,1
CB-P-0072,Youngji L,5,1
GG-P-0804,Anja P,5,1
SU-P-0226,OnAir48377673836,5,1
SU-P-2622,Juliette C,5,1
SU-P-0774,Caitlin H,5,1
SU-P-0133,Sunhwa Y,5,1
BS-P-0010,Ergis Timofeev,5,1
SU-P-0322,Rachel H,5,1
GG-P-0119,Wanderer820358,5,1
GN-P-0059,36mim85,5,1
SU-P-2856,HAMID,5,1
JN-P-0013,Kevin D,5,1
GG-P-0241,Beryl L,5,1
DJ-P-0023,Jeremy Y,5,1
SU-P-0018,Miriam M,5,1
SU-P-1588,Fay W,5,1
GG-P-1178,Passport454003,5,1
GW-P-0319,Rosemarie P,5,1
JN-P-0020,Judith B,5,1
SU-P-1961,佳杏 谢,5,1
JN-P-0276,carina,5,1
GJ-P-0065,lilymull32,5,1
SU-P-2549,Sherry T,5,1
SU-P-2563,Miranda H,5,1
SU-P-0212,Lara M,5,1
SU-P-0635,Mor,5,1
JB-P-0379,Ping G,5,1
SU-P-1965,Hannah W,5,1
DJ-P-0063,Jaime B,5,1
DG-P-0061,joy s,5,1
DJ-P-0063,Joey Wight,5,1
BS-P-0411,Avery N,5,1
GN-P-0346,sranjan_123,5,1
JB-P-0178,Christina B,5,1
SU-P-3396,Wendy L,5,1
SU-P-2210,Tomasz,5,1
SU-P-2369,Jamiela V,5,1
GN-P-0277,Siobhan O,5,1
DJ-P-0043,Angela,5,1
SU-P-0088,Ana B,5,1
DJ-P-0197,Trevor B,3,0
CN-P-0197,Avengers C,5,1
CN-P-0165,Tina W,5,1
GG-P-1101,Sarah S,5,1
GG-P-0179,englee l,5,1
BS-P-0182,K Sundaramani,5,1
SU-P-0471,Utkarsh C,5,1
GG-P-0148,Jare_La_Bori,5,1
JJ-P-0020,Kael J,1,0
JN-P-0210,Isabel,5,1
JB-P-0263,Maria R,5,1
JB-P-0476,Liana S,5,1
JB-P-0265,Jonathon E,5,1
JB-P-0227,greengreekred,5,1
SU-P-2851,Blanche-Marie S,5,1
GN-P-0226,Ahnisea G,5,1
CN-P-0176,Pat Cooper,4,1
JN-P-0239,Lorraine G,5,1
SU-P-1320,Nicole-Olga P,5,1
BS-P-0541,Marie,5,1
JB-P-0259,Gabriel Negoita-Giras,5,1
JB-P-0269,Susan T,5,1
JB-P-0269,Adam Gerstmann,5,1
JB-P-0271,Sophia H,5,1
JJ-P-0100,Emily L,5,1
SU-P-2516,Thomas W,5,1
SU-P-3379,Tori W,5,1
SU-P-1158,Kenny L,5,1
JN-P-0261,Freedom46914945785,5,1
GG-P-1116,Lauren830,5,1
GG-P-0230,Sille SN,5,1
GG-P-1114,Allorius,5,1
GW-P-0364,Jayde L,5,1
GG-P-1181,JLP,5,1
GG-P-1135,Kalam_Lais,3,0
JB-P-0276,Carl L,5,1
SU-P-2232,Monique Clemente,5,1
CB-P-0058,ainasyazlina s,5,1
DJ-P-0028,Sky,4,1
GN-P-0233,Ashley Y,5,1
GG-P-0393,Hannah,5,1
GG-P-0392,May,5,1
GJ-P-0068,Eman S,4,1
GW-P-0090,Rinta18,5,1
SU-P-1476,Ahnoo,4,1
US-P-0013,Alexander L,5,1
US-P-0033,Lam D,4,1
JN-P-0266,VanJiyeon,5,1
IC-P-0129,Esther W,5,1
CB-P-0110,ayelsicat,5,1
GW-P-0376,Jadelynn,5,1
GW-P-0289,Mark Garcia,5,1
SU-P-2567,nadia,5,1
JB-P-0283,Danielle Jimenez,5,1
SU-P-2576,desmondjong,5,1
JN-P-0268,Mitzi S,5,1
JN-P-0311,neneknora,5,1
SU-P-2592,tsellen,4,1
JJ-P-0066,Ashok G,5,1
BS-P-0689,Kate M,5,1
SU-P-0359,Eileen,5,1
SU-P-1511,Alan Z,5,1
JN-P-0275,Felicia B,5,1
SU-P-0492,Muhd Rozaimi,5,1
BS-P-0259,charlene,5,1
SU-P-1485,angeladaphne,5,1
SU-P-2193,Resort282507,5,1
CB-P-0179,Lissette B,5,1
SU-P-3292,Exploration536571,5,1
JJ-P-0128,Leo Malazo S,5,1
CB-P-0119,Kuhlit,4,1
GB-P-0062,Nas,4,1
GB-P-0141,Eleenaaa,5,1
GB-P-0140,hazph,5,1
SU-P-1067,Qu C,3,0
GG-P-0181,Veronicacaicha,5,1
GG-P-1504,Neil Agapito,5,1
GG-P-0380,Anna Ria C,5,1
BS-P-0483,jaydeexg,5,1
BS-P-0483,Arielle C,5,1
GG-P-1148,Travel3nthusiast,3,0
DJ-P-0135,dongchirua,5,1
GG-P-1198,James Earl,5,1
